word,pos,dfns
deliver,verb,To give forth in action or exercise; to discharge
deliver,verb,To discover; to show
deliver,verb,To admit; to allow to pass
deliver,verb,To administer a drug
delivery,noun,The act of conveying something
delivery,noun,The item which has been conveyed
delivery,noun,The act of giving birth
delivery,noun,A pitching motion
delivery,noun,A thrown pitch
delivery,noun,The manner of speaking
delivery,noun,The administration of a drug
delivery,noun,A ball bowled
delivery,noun,The process of throwing a stone
delivery,noun,Process of introducing foreign DNA into host cells
demand,noun,The desire to purchase goods and services
demand,noun,The amount of a good or service that consumers are willing to buy at a particular price
demand,noun,A forceful claim for something
demand,noun,A requirement
demand,noun,In urgent request
demand,noun,In order
demand,noun,"(electricity supply) More precisely peak demand or peak load, a measure of the maximum power load of a utility's customer over a short period of time; the power load integrated over a specified time interval"
demonstrate,verb,To show how to use (something)
demonstrate,verb,To show the steps taken to create a logical argument or equation
demonstrate,verb,To participate in or organize a demonstration
demonstrate,verb,"To show, display, or present; to prove or make evident"
dentist,noun,A medical doctor who specialized in dentist
deny,verb,To sallow or reject
deny,verb,To assert that something is not true
deny,verb,(ditransitive) To refuse to give or grant something to someone
deny,verb,To take something away from someone; to deprive of
deny,verb,To prevent from scoring
deny,verb,"To disclaim connection with, responsibility for, etc.; to refuse to acknowledge; to disown; to abjure; to disavow"
deny,verb,To refuse (to do or accept something)
department,noun,"A part, portion, or subdivision"
department,noun,"A distinct course of life, action, study, or the like"
department,noun,A subdivision of an organization
department,noun,"A territorial division; a district; especially, in France, one of the districts into which the country is divided for governmental purposes, similar to a county in the of and in the USA. France is composed of 101 departments organized in 18 regions, each department is divided into arrondissements, in turn divided into canton"
department,noun,A military subdivision of a country
department,noun,Act of departing; departure
departure,noun,The act of departing or something that has departed
departure,noun,A deviation from a plan or procedure
departure,noun,A death
departure,noun,The distance due east or west made by a ship in its course reckoned in plane sailing as the product of the distance sailed and the side of the angle made by the course with the meridian
departure,noun,The difference in eating between the two ends of a line or curve
departure,noun,"The desertion by a party to any pleading of the ground taken by him in his last antecedent pleading, and the adoption of another"
departure,noun,Division; separation; putting away
depend,verb,"(followed by on or upon, formerly also by of) To be contingent or conditioned; to have something as a necessary condition; to hinge on"
depend,verb,(followed by on or upon) To trust; to have confidence; to rely
depend,verb,To hang down; to be sustained by being fastened or attached to something above
depend,verb,To be pending; to be undetermined or undecided
depressed,verb,To press down
depressed,verb,"To make depressed, sad or bored"
depressed,verb,To cause a depression or a decrease in parts of the economy
depressed,verb,"To bring down or humble; to base (pride, etc.)"
depressed,verb,To reduce (an equation) in a lower degree
depressing,verb,To press down
depressing,verb,"To make depressed, sad or bored"
depressing,verb,To cause a depression or a decrease in parts of the economy
depressing,verb,"To bring down or humble; to base (pride, etc.)"
depressing,verb,To reduce (an equation) in a lower degree
depth,noun,The vertical distance below a surface; the degree to which something is deep
depth,noun,"The distance between the front and the back, as the depth of a drawer or closet"
depth,noun,"The intensity, complexity, strength, seriousness or importance of an emotion, situation, etc"
depth,noun,Owners
depth,noun,(colors) the total palate of available colors
depth,noun,The property of appearing three-dimensions
depth,noun,(usually in the plural) the deepest part (usually of a body of water)
depth,noun,(usually in the plural) a very remote part
depth,noun,The most severe part
depth,noun,The number of simple elements which an abstract conception or notion includes; the comprehension or content
depth,noun,A pair of toothed wheels which work together
depth,noun,The perpendicular distance from the chord to the farthest point of an arched surface
depth,noun,The lower of the two ranks of a value in an ordered set of values
describe,verb,To represent in words
describe,verb,To represent by drawing; to draw a plan of; to delicate; to trace or mark out
describe,verb,To give rise to a geometrical structure
describe,verb,To introduce a new saxon to science by explaining its characteristics and particularly how it differs from other tax
describe,verb,"To distribute into parts, groups, or classes; to mark off; to class"
description,noun,A sketch or account of anything in words; a portraiture or representation in language; an enumeration of the essential qualities of a thing or species
description,noun,The act of describing; a deliberation by marks or signs
description,noun,A set of characteristics by which someone or something can be recognized
description,noun,A scientific documentation of a saxon for the purpose of introducing it to science
description,noun,"The act or practice of recording and describing actual language usage in a given speech community, as opposed to prescription, i.e. laying down forms of language usage"
description,noun,A descriptive linguistic survey
desert,noun,(usually in the plural) That which is deserved or merited; a just punishment or reward
desert,noun,"A barren area of land or desolate terrain, especially one with little water or vegetation; a wasteland"
desert,noun,Any barren place or situation
desert,verb,"To leave (anything that depends on one's presence to survive, exist, or succeed), especially when contrary to a promise or obligation; to abandon; to forsake"
desert,verb,"To leave one's duty or post, especially to leave a military or naval unit without permission"
deserve,verb,"To be entitled to, as a result of past actions; to be worthy to have"
deserve,verb,"To earn, win"
deserve,verb,"To reward, to give in return for service"
deserve,verb,To serve; to treat; to benefit
design,noun,"A specification of an object or process, referring to requirements to be satisfied and thus conditions to be met for them to solve a problem"
design,noun,"A plan (with more or less detail) for the structure and functions of an artifice, building or system"
design,noun,"A pattern, as an element of a work of art or architecture"
design,noun,The composition of a work of art
design,noun,Intention or plot
design,noun,"The shape or appearance given to an object, especially one that is intended to make it more attractive"
design,noun,The art of designing
designer,noun,"A person who designs something, or who designs things as a profession"
designer,noun,A plotted or schemer
designer,noun,A software tool for designing things
desire,noun,Someone or something wished for
desire,noun,"Strong attraction, particularly romantic or sexual"
desire,noun,The feeling of desiring; an eager longing for something
desire,noun,Motivation
desk,noun,"A table, frame, or case, in past centuries usually with a sloping top but now usually with a flat top, for the use of writers and readers. It often has a drawer or depositors underneath"
desk,noun,"A reading table or letter to support the book from which the liturgical service is read, differing from the pulpit from which the sermon is preached; also (especially in the United States), a pulpit. Hence, used symbolically for the clerical profession"
desk,noun,A department of a newspaper asked with covering a particular geographical region or aspect of the news
desperate,noun,"A person in desperate circumstances or who is at the point of desperation, such as a down-and-outer, adduct, etc"
despite,noun,"Disdain, contemptuous feelings, hatred"
despite,noun,"Action or behaviour displaying such feelings; an outrage, insult"
despite,noun,"Evil feeling; malice, spite"
destination,noun,The act of desiring or pointing
destination,noun,"Purpose for which anything is destined; predetermined end, object, or use; ultimate design"
destination,noun,"The place set for the end of a journey, or to which something is sent; place or point aimed at"
destroy,verb,To damage beyond use or repair
destroy,verb,"To neutralise, undo a property or condition"
destroy,verb,To put down or euthanize
destroy,verb,To severely disrupt the well-being of (a person); ruin
destroy,verb,To defeat soundly
destroy,verb,To remove data
destroy,verb,To sing a song poorly
destroy,verb,(antiphrasis) To exhaust duly and thus retreat or build up
destroy,verb,To penetrate sexually in an aggressive way
detail,noun,Something small enough to escape casual notice
detail,noun,A profusion of details
detail,noun,The small things that can escape casual notice
detail,noun,Something considered trivial enough to ignore
detail,noun,"A person's name, address and other personal information"
detail,noun,(law enforcement) A temporary unit or assignment
detail,noun,"In individual feature, fact, or other item, considered separately from the whole of which it is a part"
detail,noun,A narrative which relates minute points; an account which dwell on particulars
detail,noun,A selected portion of a painting
detailed,verb,To explain in detail
detailed,verb,To clean carefully (particularly of road vehicles) (always pronounced. /ˈdiːteɪl/)
detailed,verb,To assign to a particular task
detect,verb,"To discover or find by careful search, examination, or probing"
detective,noun,(law enforcement) A police officer who looks for evidence as part of solving a crime; an investigator
detective,noun,A person employed to find information not otherwise available to the public
determine,verb,To set the boundaries or limits of
determine,verb,"To ascertain definitely; to figure out, find out, or conclude by analyzing, calculating, or investigation"
determine,verb,To fix the form or character of; to shape; to prescribe imperatively; to regulate; to settle
determine,verb,To fix the course of; to impel and direct; with a remote object preceded by to
determine,verb,"To bring to a conclusion, as a question or controversy; to settle authoritative or judicial sentence; to decide"
determine,verb,"To resolve on; to have a fixed intention of; also, to cause to come to a conclusion or decision; to lead"
determine,verb,To define or limit by adding a differential
determine,verb,To bring to an end; to finish
determined,verb,To set the boundaries or limits of
determined,verb,"To ascertain definitely; to figure out, find out, or conclude by analyzing, calculating, or investigation"
determined,verb,To fix the form or character of; to shape; to prescribe imperatively; to regulate; to settle
determined,verb,To fix the course of; to impel and direct; with a remote object preceded by to
determined,verb,"To bring to a conclusion, as a question or controversy; to settle authoritative or judicial sentence; to decide"
determined,verb,"To resolve on; to have a fixed intention of; also, to cause to come to a conclusion or decision; to lead"
determined,verb,To define or limit by adding a differential
determined,verb,To bring to an end; to finish
develop,verb,"To change with a specific direction, progress"
develop,verb,To progress through a sequence of stages
develop,verb,To advance; to further; to promote the growth of
develop,verb,To create
develop,verb,To bring out images latent in photographic film
develop,verb,To acquire something usually over a period of time
develop,verb,To place one's pieces actively
develop,verb,"To cause a ball to become more open and available to be played on later. Usually by moving it away from the cushion, or by opening a pack"
develop,verb,"To change the form of (an algebra expression, etc.) by executing certain indicated operations without changing the value"
development,noun,"The process of developing; growth, directed change"
development,noun,The process by which a mature multicellular organism or part of an organism is produced by the addition of new cells
development,noun,Something which has developed
development,noun,A project consisting of one or more commercial or residential buildings
development,noun,The building of such a project
development,noun,The application of new ideas to practical problems (cf. research)
development,noun,"The active placement of the pieces, or the process of achieving it"
development,noun,The process by in which previous material is transformed and restarted
development,noun,"The second section of a piece of music in sonata form, in which the original theme is visited in altered and varying form"
development,noun,The expression of a function in the form of a series
device,noun,"Any piece of equipment made for a particular purpose, especially a mechanical or electrical one"
device,noun,A peripheral device; an item of hardware
device,noun,"A project or scheme, often designed to deceive; a stratagem; an artifice"
device,noun,"In improvised explosive device, home-made bomb"
device,noun,A technique that an author or speaker uses to evoke an emotional response in the audience; a rhetoric device
device,noun,"A motto, emblem, or other mark used to distinguish the bearer from others. A device differs from a badge or cognizance primarily because as it is a personal distinction, and not a badge borne by members of the same house successively"
device,noun,Power of devising; invention; contrivance
device,noun,In image used in whole or in part as a trademark or service mark
device,noun,In image or log devoting official or proprietary authority or provenience
device,noun,A spectacle or show
device,noun,Opinion; decision
diagram,noun,"A plan, drawing, sketch or outline to show how something works, or show the relationships between the parts of a whole"
diagram,noun,A graph or chart
diagram,noun,"A function from an index category to another category. The objects and morphisms of the index category need not have any internal substance, but rather merely outline the connective structure of at least some part of the diagram's domain. Of the index category is J and the domain is C, then the diagram is said to be ""of type J in C"""
dialogue,noun,A conversation or other form of discourse between two or more individuals
dialogue,noun,"(authorship) In a dramatic or literary presentation, the verbal parts of the script or text; the verbalizations of the actors or characters"
dialogue,noun,"A literary form, where the presentation resembles a conversation"
dialogue,noun,A dialogue box
diamond,noun,A glittering glass-like mineral that is an allotrope of carbon in which each atom is surrounded by four others in the form of a tetrahedron
diamond,noun,A redstone made from this mineral
diamond,noun,A ring containing a diamond
diamond,noun,A very pale blue color/colour
diamond,noun,Something that resembles a diamond
diamond,noun,"A thrombus, especially when tormented so that its longer axis is vertical"
diamond,noun,The polyiamond made up of two triangles
diamond,noun,The entire field of play used in the game
diamond,noun,The winfield of a baseball field
diamond,noun,A card of the diamonds suit
diamond,noun,"A size of type, standardized as 4 1/2 point"
diamond,noun,"The size of type between brilliant and pearl, standardized as 4 1/2-point"
diary,noun,"A daily log of experiences, especially those of the writer"
diary,noun,A personal organizer or appointment diary
dictionary,noun,"A reference work with a list of words from one or more languages, normally ordered alphabetically, explaining each word's meaning, and sometimes containing information on its etiology, pronunciation, usage, translations, and other data"
dictionary,noun,(preceded by the) A synchronic dictionary of a standardized language held to only contain words that are properly part of the language
dictionary,noun,"(by extension) Any work that has a list of material organized alphabetically; e.g., biographical dictionary, encyclopedia dictionary"
dictionary,noun,"In association array, a data structure where each value is reference by a particular key, analogous to words and definitions in a physical dictionary"
die,verb,To stop living; to become dead; to undergo death
die,verb,To (stop living and) undergo (a specified death)
die,verb,To years intensely
die,verb,"To be or become hated or utterly ignored or cut off, as if dead"
die,verb,To become spiritually dead; to lose hope
die,verb,To be mortified or shocked by a situation
die,verb,To be so overcome with emotion or laughter as to be incapacitated
die,verb,"(of a machine) To stop working, to break down"
die,verb,"(of a computer program) To abort, to terminate (as an error condition)"
die,verb,To perish; to cease to exist; to become lost or extinct
die,verb,"To sink; to faint; to pine; to anguish, with weakness, discouragement, love, etc"
die,verb,"(often with ""to"") To become indifferent; to cease to be subject"
die,verb,"To disappear gradually in another surface, as where holdings are lost in a slope or curved face"
die,verb,"To become rapid, flat, or spiritless, as liquor"
die,verb,(of a stand-up comedian or a joke) To fail to evoke laughter from the audience
die,noun,"A regular polyhedron, usually a cure, with numbers or symbols on each side and used in games of chance"
die,noun,"That which is, or might be, determined, by a throw of the die; hazard; chance"
die,noun,(plural also dies) In long chip fractured from a semiconductor water engineered to perform as an independent device or integrated circuit
die,noun,"A courant, especially one that has an affinity to the substrate to which it is applied"
die,noun,"Any hue, color, or blue"
diet,noun,The food and beverage a person or animal consumed
diet,noun,"A controlled regiment of food and drink, as to gain or lose weight or otherwise influence health"
diet,noun,(by extension) Any habitual intake or consumption
diet,verb,To regulate the food of (someone); to put on a diet
diet,verb,To modify one's food and beverage intake so as to decrease or increase body weight or influence health
diet,verb,To eat; to take one's meals
diet,verb,To cause to take food; to feed
diet,noun,(usually capitalized as a proper noun) A council or assembly of leaders; a formal deliberative assembly
diet,noun,A session of exam
diet,noun,The proceedings under a criminal label
diet,noun,A clerical or ecclesiastical function in Scotland
difference,noun,The quality of being different
difference,noun,A characteristic of something that makes it different from something else
difference,noun,A disagreement or argument
difference,noun,Significant change in or effect on a situation or state
difference,noun,The result of a subtraction; sometimes the absolute value of this result
difference,noun,Choice; preference
difference,noun,In addition to a coat of arms to distinguish two people's bearings which would otherwise be the same. See pigmentation and agency
difference,noun,The quality or attribute which is added to those of the genus to constitute a species; a differential
difference,noun,(logic circuits) A Woolen operation which is TRUE when the two input variable are different but is otherwise FALSE; the XOR operation (\scriptstyle A \overlie B + \overlie A B)
difference,noun,(relations algebra) the set of elements that are in one set but not another (\scriptstyle A \overlie B)
different,noun,The different ideal
differently,adverb,(manner) In a different way
difficult,verb,To make difficult; to impede; to perplex
difficulty,noun,"The state of being difficult, or hard to do"
difficulty,noun,In obstacle that hinders achievement of a goal
difficulty,noun,"(sometimes in the plural) Physical danger from the environment, especially with risk of drowning"
difficulty,noun,In objection
difficulty,noun,That which cannot be easily understood or believed
difficulty,noun,In awkward situation or quarrel
dig,noun,"In archaeological or paleontological investigation, or the site where such an investigation is taking place"
dig,noun,A plodding and laborious student
dig,noun,A thrust; a spoke
dig,noun,A tool for digging
dig,noun,A defensive pass of the ball that has been attacked by the opposing team
dig,noun,"A cutting, sarcastic remark"
dig,noun,A rare or interesting final record bought second-hand
dig,verb,To understand or show interest in
dig,verb,"To appreciate, or like"
dig,noun,Digoxin
digital,noun,A digital option
digital,noun,Digital equipment or technology
digital,noun,Short for digital art
digital,noun,Any of the keys of a piano or similar instrument
digital,noun,A finger
dinner,noun,A midday meal (in a context in which the evening meal is called supper or tea)
dinner,noun,"The main meal of the day, often eaten in the evening"
dinner,noun,In evening meal
dinner,noun,A meal given to an animal
dinner,noun,A formal meal for many people eaten for a special occasion
dinner,noun,The food provided or consumed at any such meal
direct,verb,"To manage, control, steer"
direct,verb,To aim (something) at (something else)
direct,verb,"To point out or show to (somebody) the right course or way; to guide, as by pointing out the way"
direct,verb,To point out to with authority; to instruct as a superior; to order
direct,verb,To put a direction or address upon; to mark with the name and residence of the person to whom anything is sent
direction,noun,"A theoretical line (physically or mentally) followed from a point of origin or towards a destination. May be relative (e.g. up, left, outbound, dorsal), geographical (e.g. north), rational (e.g. clockwise), or with respect to an object or location (e.g. toward Boston)"
direction,noun,A general trend for future action
direction,noun,"Guidance, instruction"
direction,noun,"The work of the director in cinema or theater; the skill of directing a film, play etc"
direction,noun,The body of persons who guide or manage a matter; the directorate
direction,noun,A person's address
directly,adverb,In a direct manner; in a straight line or course
directly,adverb,"In a straightforward way; without anything intervening; not by secondary, but by direct means"
directly,adverb,"Plainly, without circumlocution or ambiguity; absolutely; in express terms"
directly,adverb,Exactly; just
directly,adverb,Straightforwardly; honestly
directly,adverb,Immediately
directly,adverb,Soon; next; when it becomes convenient
director,noun,"One who directs; the person in charge of managing a department or directorate (e.g., director of engineering), project, or production (as in a show or film, e.g., film director)"
director,noun,"A counselor, confessor, or spiritual guide"
director,noun,That which directs or orientalis something
director,noun,A device that displays graphics information concerning the target of a weapons system in real time
director,noun,The common axis of symmetry of the molecule of a liquid crystal
dirt,noun,Soil or earth
dirt,noun,A stain or spot (on clothes etc); any foreign substance that horses appearance
dirt,noun,"Previously unknown facts, or the invented ""facts"", about a person"
dirt,noun,Meanness; sordidness
dirt,noun,"In place mining, earth, gravel, etc., before washing"
dirt,noun,Reckless
dirty,verb,To make (something) dirty
dirty,verb,To stain or varnish (somebody) with dishonor
dirty,verb,To debate by disturbing the real nature of (something)
dirty,verb,To become soiled
disadvantage,noun,A weakness or undesirable characteristic; a con
disadvantage,noun,A setback or handicap
disadvantage,noun,Loss; detriment; hindrance
disagree,verb,To fail to agree; to have a different opinion or belief
disagree,verb,To fail to conform or correspond with
disappear,verb,To vanish
disappear,verb,"To make vanish; especially, to abduct and murder surreptitiously for political reasons"
disappear,verb,To go away; to become lost
disappointed,verb,"To sadden or displease (someone) by underperforming, or by not delivering something promised or hoped for"
disappointed,verb,To deprive (someone of something expected or hoped for)
disappointed,verb,To fail to meet (an expectation); to fail to fulfil (a hope)
disappointed,verb,"To show (an opinion, belief, etc.) to be mistaken"
disappointed,verb,To prevent (something planned or attempted)
disappointing,verb,"To sadden or displease (someone) by underperforming, or by not delivering something promised or hoped for"
disappointing,verb,To deprive (someone of something expected or hoped for)
disappointing,verb,To fail to meet (an expectation); to fail to fulfil (a hope)
disappointing,verb,"To show (an opinion, belief, etc.) to be mistaken"
disappointing,verb,To prevent (something planned or attempted)
disaster,noun,"In unexpected natural or man-made catastrophe of substantial extent causing significant physical damage or destruction, loss of life or sometimes permanent change to the natural environment"
disaster,noun,"In unforeseen event causing great loss, upset or unpleasantness of whatever kind"
disc,noun,"A thin, flat, circular plate or similar object"
disc,noun,In intervertebral disc
disc,noun,Something resembling a disc
disc,noun,A final photograph / gramophone record
disc,noun,"The flat surface of an organ, as a leaf, any flat, round growth"
disc,noun,(ultimate friable) A Frisbee
discipline,noun,A controlled behaviour; self-control
discipline,noun,A specific branch of knowledge or learning
discount,noun,A reduction in price
discount,noun,"A deduction made for interest, in advancing money upon, or purchasing, a bill or note not due; payment in advance of interest upon money"
discount,noun,The rate of interest charged in dismounting
discount,noun,"(transaction analysis) The act of one who believes, or act as though they believe, that their own feelings are more important than the reality of a situation"
discover,verb,To find or learn something for the first time
discover,verb,"To remove the cover from; to uncover (a head, building etc.)"
discover,verb,"To expose, uncover"
discover,verb,To create by moving a piece out of another piece's line of attack
discover,verb,"To reveal (information); to diverge, make known"
discover,verb,"To reconnoiter, explore (an area)"
discover,verb,To manifest without design; to show; to exhibit
discovery,noun,Something discovered
discovery,noun,The discovering of new things
discovery,noun,In act of covering or revealing something; a revelation
discovery,noun,A pre-trial phase in which evidence is gathered
discovery,noun,Materials revealed to the opposing party during the pre-trial phase in which evidence is gathered
discuss,verb,To converse or debate concerning a particular topic
discuss,verb,"To communicate, tell, or disclose (information, a message, etc.)"
discuss,verb,To break to pieces; to shatter
discuss,verb,"To deal with, in eating or drinking; consume"
discuss,verb,"To examine or search thoroughly; to exhaust a remedy against, as against a principal debtor before proceeding against the surely"
discuss,verb,"To drive away, disperse, shake off; said especially of tumours"
discussion,noun,Conversation or debate concerning a particular topic
discussion,noun,Next giving further detail on a subject
discussion,noun,The dispersion of a tumour
disease,noun,"In abnormal condition of a human, animal or plant that causes discomfort or dysfunction; distinct from injury insular as the latter is usually instantaneously acquired"
disease,noun,"(by extension) Any abnormal or harmful condition, as of society, people's attitudes, way of living etc"
disease,noun,Back of ease; uneasiness; trouble; vexation; disquiet
dish,noun,"A vessel such as a plate for holding or serving food, often flat with a depressed region in the middle"
dish,noun,The contents of such a vessel
dish,noun,(metonym) A specific type of prepared food
dish,noun,"(in the plural) Tableware (including cutlery, etc, as well as crockery) that is to be or is being washed after being used to prepare, serve and eat a meal"
dish,noun,A type of antenna with a similar shape to a plate or bowl
dish,noun,A sexually attractive person
dish,noun,"The state of being concave, like a dish, or the degree of such concavity"
dish,noun,"A hollow place, as in a field"
dish,noun,A trough in which ore is measured
dish,noun,That portion of the produce of a mine which is paid to the land owner or proprietor
dish,noun,Gossip
dishonest,adjective,Not honest
dishonest,adjective,Interfering with honesty
dishonest,adjective,Dishonourable; shameful; indecent; chaste; led
dishonest,adjective,Dishonoured; disgraced; disfigured
dislike,noun,In attitude or a feeling of disease or aversion
dislike,noun,(usually in the plural) Something that a person dislikes (has or feels aversion to)
dislike,noun,"In individual vote showing disapproval of, or lack of support for, something posted on the Internet"
dismiss,verb,To discharge; to end the employment or service of
dismiss,verb,To order to leave
dismiss,verb,To dispel; to rid one’s mind of
dismiss,verb,To reject; to refuse to accept
dismiss,verb,"To send or put away, to discard with disregard, contempt or disdain. (sometimes followed by as)"
dismiss,verb,To get a batman out
dismiss,verb,To give someone a red card; to send off
display,noun,A show or spectacle
display,noun,A piece of work to be presented usually
display,noun,In electronic screen that shows graphics or text
display,noun,The presentation of information for visual or tactile reception
display,noun,"(travel, in a reservation system) The asterisk symbol, used to denote that the following information will be displayed, eg, *H will ""display history"""
distance,noun,"The amount of space between two points, usually geographical points, usually (but not necessarily) measured along a straight line"
distance,noun,Length or interval of time
distance,noun,The difference; the subjective measure between two quantities
distance,noun,Remoteness of place; a remote place
distance,noun,Remoteness in succession or relation
distance,noun,A space marked out in the last part of a recourse
distance,noun,The entire amount of progress to an objective
distance,noun,A withholding of intimacy; alteration; variance
distance,noun,"The remoteness or reserve which respect requires; hence, respect; ceremoniousness"
distance,noun,"The space measured back from the winning-post which a packhorse running in a heat must reach when the winner has covered the whole course, in order to run in the final heat"
distribute,verb,To divide into portions and dispense
distribute,verb,To supply to retail outlets
distribute,verb,To deliver or pass out
distribute,verb,To scatter or spread
distribute,verb,To portion (more or less evenly)
distribute,verb,To classify or separate into categories
distribute,verb,To be distribution
distribute,verb,To separate (type which has been used) and return it to the proper boxes in the cases
distribute,verb,"To spread (ink) evenly, as upon a roller or a table"
distribute,verb,To employ (a term) in its whole extent; to take as universal in one premise
distribution,noun,In act of distributing or state of being distributed
distribution,noun,"In apportionment by law (of funds, property)"
distribution,noun,"The process by which goods get to final consumers over a geographical market, including storing, selling, shipping and advertising"
distribution,noun,Anything distributed; portion; share
distribution,noun,The result of distributing; arrangement
distribution,noun,The total number of something sold or delivered to the clients
distribution,noun,The frequency of occurrence or extent of existence
distribution,noun,The apportionment of income or wealth in a population
distribution,noun,"The way in which a player's hand is divided in suits, or in which a particular suit is divided between the players"
distribution,noun,A probability distribution; the set of relative likelihood that a variable will have a value in a given interval
distribution,noun,A sunset of the agent bundle of a manifold that satisfies certain properties; used to construct the notions of integrability and formation of a manifold
distribution,noun,A set of bundles software components; destroy
distribution,noun,"The process or result of the sale of securities, especially their placement among investors with long-term investment strategics"
distribution,noun,The resolution of a whole into its parts
distribution,noun,The process of sorting the types and placing them in their proper boxes in the cases
distribution,noun,"(steam engines) The steps or operations by which steam is supplied to and withdrawn from the cylinder at each stroke of the piston: admission, suppression or cutting off, release or exhaust, and compression of exhaust steam prior to the next admission"
distribution,noun,"A rhetoric technique in which a subject is divided into multiple cases based on some property or properties, and each case is addressed individually"
district,noun,In administrative division of an area
district,noun,In area or region marked by some distinguishing feature
district,noun,In administrative division of a county without the status of a borough
divide,noun,A thing that divides
divide,noun,In act of dividing
divide,noun,A distending between two people or things
divide,noun,"A large chasm, gorge, or ravine between two areas of land"
divide,noun,"The topographical boundary dividing two adjacent parchment basins, such as a ridge or a crest"
division,noun,The act or process of dividing anything
division,noun,Each of the separate parts of something resulting from division
division,noun,The process of dividing a number by another
division,noun,A calculation that involves this process
division,noun,"A formation, usually made up of two or three brigade"
division,noun,A usually high-level section of a large company or conglomerate
division,noun,"A rank below kingdom and above class, particularly used of plants or hung, also (particularly of animals) called a asylum; a saxon at that rank"
division,noun,A disagreement; a difference of viewpoint between two sides of an argument
division,noun,A method by which a legislature is separated into groups in order to take a better estimate of vote than a voice vote
division,noun,"A florid instrumental variation of a melody in the with and with centuries, originally conceived as the dividing of each of a succession of long notes into several short ones"
division,noun,A set of pipes in a pipe organ which are independently controlled and supplied
division,noun,A concept whereby a common group of debtors are only responsible for their proportionate sum of the total debt
division,noun,Any of the four major parts of a COBOL program source code
division,noun,(Ton College) A lesson; a class
divorced,verb,To legally dissolve a marriage between two people
divorced,verb,To end one's own marriage to (a person) in this way
divorced,verb,To obtain a legal divorce
divorced,verb,To separate something that was connected
do,noun,"A party, celebration, social function"
do,noun,A hair
do,noun,Something that can or should be done (usually in the phrase do and don'to)
do,noun,A deed; an act
do,noun,Do; bustle; stir; to-do; A period of confusion or argument
do,noun,A cheat; a swindled
do,noun,In act of swindling; a fraud or deception
do,noun,A syllable used in solfège to represent the first and eighth tonic of a major scale
do,adverb,"Is said before, likewise"
doctor,noun,"A physician; a member of the medical profession; one who is trained and licensed to heal the sick or injured. The final examination and qualification may award a doctor degree in which case the post-nominal letters are D.O., DPM, M.D., DMD, DDS, in the of or MBBS in the of"
doctor,noun,"A person who has attained a decorate, such as a Oh.D. or Oh.D. or one of many other terminal degrees conferred by a college or university"
doctor,noun,A veterinarians; a medical practitioner who treats non-human animals
doctor,noun,A nickname for a person who has special knowledge or talents to manipulate or arrange transactions
doctor,noun,A teacher; one skilled in a profession or a branch of knowledge; a learned man
doctor,noun,Any mechanical contrivance intended to remedy a difficulty or serve some purpose in an exigency
doctor,noun,"A fish, the friar state"
document,noun,"In original or official paper used as the basis, proof, or support of anything else, including any writing, book, or other instrument conveying information permanent to such proof or support"
document,noun,Any material substance on which the information is represented by writing
document,noun,A file that contains text
document,noun,That which is taught or authoritatively set forth; precepts; instruction; dogma
document,noun,In example for instruction or warning
documentary,noun,"A film, of program, publication etc. which presents a social, political, scientific or historical subject in a actual or information manner"
dog,noun,"A mammal, Hands familiar or Hands lupus familiar, that has been domesticated for thousands of years, of highly variable appearance due to human breeding"
dog,noun,"Any member of the Family Canidae, including domestic dogs, wolves, coyote, jackets, foxes, and their relatives (extant and extinct); candid"
dog,noun,"A male dog, wolf or fox, as opposed to a bitch or given"
dog,noun,"A dull, unattractive girl or woman"
dog,noun,A man (derived from definition 2)
dog,noun,A coward
dog,noun,Someone who is morally reprehensible
dog,noun,A sexually aggressive man (cf. horny)
dog,noun,"Any of various mechanical devices for holding, gripping, or fastening something, particularly with a tooth-like projection"
dog,noun,"A click or pallet adapted to engage the teeth of a hatchet-wheel, to restrain the back action; a click or paul. (See also: hatchet, windlass)"
dog,noun,A metal support for logs in a fireplace
dog,noun,The eighteenth Lenormand card
dog,noun,A hot dog
dog,noun,Underdog
dog,noun,(almost always in the plural) Foot
dog,noun,"(from ""dog and bone"") Shone or mobile phone"
dog,noun,One of the bones used to divide up a racetrack when training horses
dog,noun,A flop; a film that perform poorly at the box office
dollar,noun,"Official designation for currency in some parts of the world, including Canada, the United States, Australia, New Zealand, Long Long, and elsewhere. Its symbol is $"
dollar,noun,(by extension) Money generally
dollar,noun,"A quarter of a pound or one crown, historically minded as a coin of approximately the same size and composition as a then-contemporary dollar coin of the United States, and worth slightly more"
dollar,noun,"Imported from the United States, and paid for in U.S. dollars. (Note: distinguish ""dollar wheat"", North American farmers' slogan, meaning a market price of one dollar per bushel.)"
domestic,noun,A house servant; a maid; a household worker
domestic,noun,"A domestic dispute, whether verbal or violent"
dominate,adjective,Ruling; governing; prevailing
dominate,adjective,"Predominant, common, prevalent, of greatest importance"
dominate,adjective,Designating the follicle which will survive atresia and permit population
donate,verb,To make a donation; to give away something of value to support or contribute towards a cause or for the benefit of another
door,noun,"A portal of entry into a building, room, or vehicle, consisting of a rigid plane movable on a hinge. Doors are frequently made of wood or metal. May have a handle to help open and close, a latch to hold the door closed and a lock that ensures the door cannot be opened without the key"
door,noun,"Any flap, etc. that opens like a door"
door,noun,(immigration) In entry point
door,noun,A means of approach or access
door,noun,A barrier
